|                      |   fixed acidity |   volatile acidity |   citric acid |   residual sugar |   chlorides |   free sulfur dioxide |   total sulfur dioxide |    density |         pH |   sulphates |    alcohol |    quality |
|:---------------------|----------------:|-------------------:|--------------:|-----------------:|------------:|----------------------:|-----------------------:|-----------:|-----------:|------------:|-----------:|-----------:|
| fixed acidity        |       1         |        -0.256131   |     0.671703  |       0.114777   |  0.0937052  |           -0.153794   |             -0.113181  |  0.668047  | -0.682978  |  0.183006   | -0.0616683 |  0.124052  |
| volatile acidity     |      -0.256131  |         1          |    -0.552496  |       0.00191788 |  0.0612978  |           -0.0105038  |              0.07647   |  0.0220262 |  0.234937  | -0.260987   | -0.202288  | -0.390558  |
| citric acid          |       0.671703  |        -0.552496   |     1         |       0.143577   |  0.203823   |           -0.0609781  |              0.035533  |  0.364947  | -0.541904  |  0.31277    |  0.109903  |  0.226373  |
| residual sugar       |       0.114777  |         0.00191788 |     0.143577  |       1          |  0.0556095  |            0.187049   |              0.203028  |  0.355283  | -0.0856524 |  0.00552712 |  0.0420754 |  0.0137316 |
| chlorides            |       0.0937052 |         0.0612978  |     0.203823  |       0.0556095  |  1          |            0.00556215 |              0.0474005 |  0.200632  | -0.265026  |  0.37126    | -0.221141  | -0.128907  |
| free sulfur dioxide  |      -0.153794  |        -0.0105038  |    -0.0609781 |       0.187049   |  0.00556215 |            1          |              0.667666  | -0.0219458 |  0.0703775 |  0.0516576  | -0.0694084 | -0.0506561 |
| total sulfur dioxide |      -0.113181  |         0.07647    |     0.035533  |       0.203028   |  0.0474005  |            0.667666   |              1         |  0.0712695 | -0.0664946 |  0.0429468  | -0.205654  | -0.1851    |
| density              |       0.668047  |         0.0220262  |     0.364947  |       0.355283   |  0.200632   |           -0.0219458  |              0.0712695 |  1         | -0.341699  |  0.148506   | -0.49618   | -0.174919  |
| pH                   |      -0.682978  |         0.234937   |    -0.541904  |      -0.0856524  | -0.265026   |            0.0703775  |             -0.0664946 | -0.341699  |  1         | -0.196648   |  0.205633  | -0.0577314 |
| sulphates            |       0.183006  |        -0.260987   |     0.31277   |       0.00552712 |  0.37126    |            0.0516576  |              0.0429468 |  0.148506  | -0.196648  |  1          |  0.0935948 |  0.251397  |
| alcohol              |      -0.0616683 |        -0.202288   |     0.109903  |       0.0420754  | -0.221141   |           -0.0694084  |             -0.205654  | -0.49618   |  0.205633  |  0.0935948  |  1         |  0.476166  |
| quality              |       0.124052  |        -0.390558   |     0.226373  |       0.0137316  | -0.128907   |           -0.0506561  |             -0.1851    | -0.174919  | -0.0577314 |  0.251397   |  0.476166  |  1         |
