|                      |   fixed acidity |   volatile acidity |   citric acid |   residual sugar |   chlorides |   free sulfur dioxide |   total sulfur dioxide |    density |           pH |   sulphates |    alcohol |     quality |
|:---------------------|----------------:|-------------------:|--------------:|-----------------:|------------:|----------------------:|-----------------------:|-----------:|-------------:|------------:|-----------:|------------:|
| fixed acidity        |       1         |         -0.0226973 |    0.289181   |        0.0890207 |   0.0230856 |          -0.0493959   |             0.0910698  |  0.265331  | -0.425858    |  -0.017143  | -0.120881  | -0.113663   |
| volatile acidity     |      -0.0226973 |          1         |   -0.149472   |        0.0642861 |   0.0705116 |          -0.0970119   |             0.0892605  |  0.0271138 | -0.0319154   |  -0.0357281 |  0.0677179 | -0.194723   |
| citric acid          |       0.289181  |         -0.149472  |    1          |        0.0942116 |   0.114364  |           0.0940772   |             0.121131   |  0.149503  | -0.163748    |   0.0623309 | -0.0757287 | -0.00920909 |
| residual sugar       |       0.0890207 |          0.0642861 |    0.0942116  |        1         |   0.0886845 |           0.299098    |             0.401439   |  0.838966  | -0.194133    |  -0.0266644 | -0.450631  | -0.0975768  |
| chlorides            |       0.0230856 |          0.0705116 |    0.114364   |        0.0886845 |   1         |           0.101392    |             0.19891    |  0.257211  | -0.0904395   |   0.0167629 | -0.360189  | -0.209934   |
| free sulfur dioxide  |      -0.0493959 |         -0.0970119 |    0.0940772  |        0.299098  |   0.101392  |           1           |             0.615501   |  0.29421   | -0.000617796 |   0.0592172 | -0.250104  |  0.00815807 |
| total sulfur dioxide |       0.0910698 |          0.0892605 |    0.121131   |        0.401439  |   0.19891   |           0.615501    |             1          |  0.529881  |  0.00232097  |   0.134562  | -0.448892  | -0.174737   |
| density              |       0.265331  |          0.0271138 |    0.149503   |        0.838966  |   0.257211  |           0.29421     |             0.529881   |  1         | -0.0935915   |   0.0744931 | -0.780138  | -0.307123   |
| pH                   |      -0.425858  |         -0.0319154 |   -0.163748   |       -0.194133  |  -0.0904395 |          -0.000617796 |             0.00232097 | -0.0935915 |  1           |   0.155951  |  0.121432  |  0.0994272  |
| sulphates            |      -0.017143  |         -0.0357281 |    0.0623309  |       -0.0266644 |   0.0167629 |           0.0592172   |             0.134562   |  0.0744931 |  0.155951    |   1         | -0.0174328 |  0.0536779  |
| alcohol              |      -0.120881  |          0.0677179 |   -0.0757287  |       -0.450631  |  -0.360189  |          -0.250104    |            -0.448892   | -0.780138  |  0.121432    |  -0.0174328 |  1         |  0.435575   |
| quality              |      -0.113663  |         -0.194723  |   -0.00920909 |       -0.0975768 |  -0.209934  |           0.00815807  |            -0.174737   | -0.307123  |  0.0994272   |   0.0536779 |  0.435575  |  1          |
